direction,ligand,receptor,disease_score_fap_series,attenuation_fap_ablation,disease_score_blockade_series,attenuation_a5b1_blockade,disease_induced_both_series,attenuation_class,consensus_strength,interaction,attenuation_difference_ablation_minus_blockade,prespecified_focus,focus_order
Neutrophil -> Fibroblast,Pecam1,Pecam1,0.662063917385386,0.58911064005861,0.63797694996795,0.609717024568177,True,Attenuated by both,0.58911064005861,Pecam1 → Pecam1,-0.020606384509566977,False,
Neutrophil -> Fibroblast,App,Cd74,0.647853844477482,0.653248761411849,0.481781820017527,0.118867879318253,True,Attenuated by both,0.118867879318253,App → Cd74,0.5343808820935959,False,
Neutrophil -> Fibroblast,Selplg,Sell,0.642056119854106,0.620495719950483,0.438325269628734,0.18647435350216,True,Attenuated by both,0.18647435350216,Selplg → Sell,0.434021366448323,False,
Fibroblast -> Neutrophil,Cd2,Cd53,0.636338176628966,0.548731380335371,0.508413493699592,0.486451921024423,True,Attenuated by both,0.486451921024423,Cd2 → Cd53,0.06227945931094808,False,
Neutrophil -> Fibroblast,Pecam1,Itgav,0.63244698345156,0.614841125108885,0.587941545607649,0.770254507895547,True,Attenuated by both,0.614841125108885,Pecam1 → Itgav,-0.15541338278666195,False,
Neutrophil -> Fibroblast,Cd80,Cd274,0.6310589946506,0.529731033939307,0.435891630460709,0.37162405654623,True,Attenuated by both,0.37162405654623,Cd80 → Cd274,0.158106977393077,False,
Fibroblast -> Neutrophil,Pecam1,Pecam1,0.621913216915947,0.51682623128322,0.605038575182151,0.590158085339371,True,Attenuated by both,0.51682623128322,Pecam1 → Pecam1,-0.07333185405615095,False,
Fibroblast -> Neutrophil,Tgfbi,Itgb1,0.621047793746605,0.252530474197015,0.348375359862927,0.190651341825754,True,Attenuated by both,0.190651341825754,Tgfbi → Itgb1,0.061879132371261025,False,
Fibroblast -> Neutrophil,Alcam,Alcam,0.615116298631825,0.586303251709833,0.194384770040797,0.323783326270082,True,Attenuated by both,0.323783326270082,Alcam → Alcam,0.262519925439751,False,
Neutrophil -> Fibroblast,Pecam1,Itgb3,0.612299045960505,0.565359667464627,0.528437040015159,0.731570089099817,True,Attenuated by both,0.565359667464627,Pecam1 → Itgb3,-0.16621042163519006,False,
Fibroblast -> Neutrophil,Col18a1,Itgb1,0.605850109164693,0.374911583249711,0.366546306395228,0.425122286597793,True,Attenuated by both,0.374911583249711,Col18a1 → Itgb1,-0.050210703348081975,False,
Fibroblast -> Neutrophil,Il1b,Il1rap,0.603611401914598,0.766935693219639,0.463620701732694,0.0297742196493008,True,Attenuated by both,0.0297742196493008,Il1b → Il1rap,0.7371614735703381,True,0.0
Neutrophil -> Fibroblast,Tgm2,Itgb3,0.598916758533711,0.540266900798824,0.343011556180117,0.327125102677377,True,Attenuated by both,0.327125102677377,Tgm2 → Itgb3,0.213141798121447,False,
Fibroblast -> Neutrophil,Pecam1,Itgav,0.595592305712009,0.514641854062154,0.554825375685681,0.427491011160837,True,Attenuated by both,0.427491011160837,Pecam1 → Itgav,0.08715084290131703,False,
Fibroblast -> Neutrophil,Psen1,Notch2,0.595056098031497,0.27731774046258,0.290520433460385,0.478325135154779,True,Attenuated by both,0.27731774046258,Psen1 → Notch2,-0.20100739469219897,False,
Fibroblast -> Neutrophil,Vcam1,Itgb1,0.591113139624313,0.458034291714885,0.450738388316549,0.589985924262116,True,Attenuated by both,0.458034291714885,Vcam1 → Itgb1,-0.13195163254723102,False,
Fibroblast -> Neutrophil,Sell,Selplg,0.587540057591829,0.609579062023791,0.433140693054002,0.194399055573711,True,Attenuated by both,0.194399055573711,Sell → Selplg,0.41518000645007996,False,
Neutrophil -> Fibroblast,Cd2,Cd53,0.586942607299935,0.467137481427668,0.434056230881445,0.529606831465782,True,Attenuated by both,0.467137481427668,Cd2 → Cd53,-0.062469350038114047,False,
