subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
Saved: cd177- all neutrophils/padi4+ cxcr4-,CD177,saved gate,Exploratory subset MFI,3,4,-9397.769641298419,-7495.950364584768,-15985.619402888644,-7468.98144913202,-8210.709917191087,-6476.866022293032,tested,0.4,0.5,1901.8192767136507,1901.8192767136507,0.9586466165413534,170.0,0.9339622641509433
Saved: cd177- all neutrophils/padi4+ cxcr4-,CD11b,saved gate,Exploratory subset MFI,3,4,24647.84209398993,12050.38675602008,19010.778657740644,74390.70990176764,10030.393081215094,15768.908570508858,tested,0.22857142857142856,-0.6666666666666667,-12597.45533796985,-12597.45533796985,0.8925117435755734,170.0,0.8636363636363636
Saved: cd177- all neutrophils/padi4+ cxcr4-,CD45,saved gate,Exploratory subset MFI,3,4,18931.03999328238,15598.953675533476,16098.996110219154,24856.4109378341,12018.440496417574,20859.670352370536,tested,0.4,-0.5,-3332.0863177489027,-3065.0063837950856,0.9586466165413534,170.0,0.9339622641509433
Saved: cd177- all neutrophils/padi4+ cxcr4-,Ly6G,saved gate,Exploratory subset MFI,3,4,13152.78870162762,15124.101926740339,12983.092569295257,57686.33784726826,12748.747441595544,18023.09409274089,tested,1.0,0.0,1971.313225112719,-1880.9664504302946,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ cxcr4-,F4/80,saved gate,Exploratory subset MFI,3,4,3973.4134672853934,4483.971195963363,3868.6284933166016,9370.749368705558,3740.269192536744,4555.963013324644,tested,1.0,0.0,510.55772867796986,-849.6377503601789,1.0,170.0,1.0
Saved: cd177- all neutrophils/padi4+ mx1+,OSM,saved gate,Exploratory subset MFI,1,2,-10173.961591937186,18251.95239305697,-10173.961591937186,-10173.961591937186,17180.379870201086,19323.52491591285,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,CXCR4,saved gate,Exploratory subset MFI,1,2,20494.99027103235,2994.9115955445463,20494.99027103235,20494.99027103235,2816.452822784744,3173.3703683043486,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,MX1,saved gate,Exploratory subset MFI,1,2,9717.113908268679,7949.539521268569,9717.113908268679,9717.113908268679,7515.83651842392,8383.242524113219,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,PADI4,saved gate,Exploratory subset MFI,1,2,8262.999955258492,6809.94341264783,8262.999955258492,8262.999955258492,6278.557972796387,7341.328852499274,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,NAMPT,saved gate,Exploratory subset MFI,1,2,938.7037473622959,768.4145828645117,938.7037473622959,938.7037473622959,702.4107098531604,834.4184558758628,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,CD177,saved gate,Exploratory subset MFI,1,2,-13016.110440326795,-14795.478990896483,-13016.110440326795,-13016.110440326795,-15930.710113718415,-13660.247868074552,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,CD11b,saved gate,Exploratory subset MFI,1,2,13871.299116734674,13476.620012489755,13871.299116734674,13871.299116734674,13101.673829145586,13851.566195833926,insufficient mice with >=20 subset events,,,,,,170.0,
