barcode,DonorID,ConditionCode,neutrophil_cluster_annotation,neutrophil_state_annotation,lineage_eligible
C_49608582,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49610001,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49610343,Donor1,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49610849,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49615734,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49617524,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49617855,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49619738,Donor2,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49620078,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49620274,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49621283,Donor1,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49622003,Donor6,UF,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
C_49622263,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49626317,Donor5,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49626792,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49631279,Donor3,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49633023,Donor4,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49636717,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49641009,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49641549,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49643066,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49643510,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49644241,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49645005,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49647390,Donor6,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49647505,Donor2,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49648515,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49648849,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49650659,Donor2,UF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
C_49652977,Donor2,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49653120,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49653221,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49661397,Donor6,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49661807,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49664769,Donor6,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49664936,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49665104,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49665177,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49667656,Donor6,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49669262,Donor3,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49669807,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49672725,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49672781,Donor2,UN,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49673227,Donor2,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49673363,Donor3,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49673839,Donor5,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49677607,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49677938,Donor4,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49678055,Donor6,UF,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
C_49686581,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49687334,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49687643,Donor5,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49688318,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49689396,Donor1,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49691053,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49691105,Donor5,UF,CCL3/CCL4 inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49691532,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49692259,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49698749,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49699732,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49701272,Donor4,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49705255,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49705320,Donor4,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49708973,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49710856,Donor3,UN,Low-signal neutrophil,OSM neutrophil,TRUE
C_49711307,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49715035,Donor2,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49715434,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49718138,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49729486,Donor4,UF,IL1R2+ inflammatory neutrophil,OSM neutrophil,TRUE
C_49730006,Donor2,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49730340,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49736370,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49737635,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49740446,Donor4,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49740655,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49746347,Donor6,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49747659,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49751824,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49755271,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49757702,Donor6,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49757762,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49759263,Donor2,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49767510,Donor3,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49769961,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49775814,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49776143,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49780278,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49782352,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49794457,Donor3,UN,Low-signal neutrophil,CXCR4 neutrophil,TRUE
C_49798437,Donor4,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49804693,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49805917,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49806891,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49808190,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49808735,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49809420,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49809495,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49811710,Donor5,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49815165,Donor6,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49816295,Donor4,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49816508,Donor4,UF,Low-signal neutrophil,OSM neutrophil,TRUE
C_49829342,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49831206,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49831656,Donor2,UF,IL1R2+ inflammatory neutrophil,CXCR4 neutrophil,TRUE
C_49834983,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49837868,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49844374,Donor2,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49850493,Donor3,UN,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49853363,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49853688,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49855716,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49856705,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49859106,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49859989,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49861249,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49872301,Donor3,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49875870,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49876255,Donor6,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49878253,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49878609,Donor3,UF,PADI4/translation-high neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49878901,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49880831,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49884399,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49884844,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49892336,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49892835,Donor2,UF,RORA+ atypical neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49893120,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49896833,Donor3,UN,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_49898456,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49904414,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49909581,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49911009,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49919996,Donor1,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49923062,Donor3,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49935181,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49936125,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49936267,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49940250,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49941592,Donor2,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49946347,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49954917,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49955122,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49956992,Donor1,UN,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49960127,Donor4,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49962756,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49972008,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_49981060,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49987447,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_49988040,Donor4,UF,Low-signal neutrophil,OSM neutrophil,TRUE
C_49998361,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_49999061,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50001509,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50002771,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50009794,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50013960,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50020372,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50026991,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50027816,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50028057,Donor3,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_50029362,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50032569,Donor4,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50036019,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50036196,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50036839,Donor2,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50041768,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50043795,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50047904,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50052984,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50056526,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50057417,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50057920,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50059623,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50060050,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50062818,Donor5,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50063357,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50069348,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50071177,Donor3,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50072041,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50073336,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50074459,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50076602,Donor4,UF,Activated OSM/CXCR4 neutrophil,PADI4 neutrophil,TRUE
C_50080206,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50081156,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50081511,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50082664,Donor2,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50085020,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50085132,Donor2,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50085235,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50087937,Donor1,UF,PADI4/translation-high neutrophil,CXCR4 neutrophil,TRUE
C_50088179,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50089186,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50094961,Donor3,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50096176,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50098154,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50100086,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50104667,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50105020,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50108237,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50113337,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50113996,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50116548,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50118519,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50119346,Donor3,UF,LTF/BPI immature neutrophil,PADI4 neutrophil,TRUE
C_50119658,Donor4,UF,CCL3/CCL4 inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50120808,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50121010,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50121171,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50123828,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50129017,Donor2,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50131629,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50131902,Donor5,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50132103,Donor1,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50133977,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50134658,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50137525,Donor3,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50138148,Donor1,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50140997,Donor3,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50143101,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50145282,Donor3,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50146523,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50149199,Donor4,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50149900,Donor6,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50150306,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50153248,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50160340,Donor4,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50163077,Donor3,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50165959,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50167727,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50170246,Donor3,UF,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50171131,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50172222,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50173221,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50173773,Donor4,UN,CCL3/CCL4 inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50178933,Donor1,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50180167,Donor6,UF,RORA+ atypical neutrophil,OSM neutrophil,TRUE
C_50182047,Donor2,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50188990,Donor4,UF,Activated OSM/CXCR4 neutrophil,MX1/ISG neutrophil,TRUE
C_50193105,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50195769,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50196244,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50198587,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50201326,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50205181,Donor2,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50205913,Donor4,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50207059,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50207992,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50209605,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50209670,Donor3,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50210605,Donor4,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50212967,Donor3,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50213160,Donor4,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50213627,Donor6,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50215652,Donor3,UF,Low-signal neutrophil,OSM neutrophil,TRUE
C_50216938,Donor3,UF,Activated OSM/CXCR4 neutrophil,PADI4 neutrophil,TRUE
C_50217531,Donor6,UF,Low-signal neutrophil,CXCR4 neutrophil,TRUE
C_50226006,Donor4,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50227615,Donor2,UN,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50227872,Donor2,UF,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50227954,Donor2,UF,Activated OSM/CXCR4 neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50233815,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50234794,Donor4,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50240059,Donor4,UN,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50244115,Donor3,UF,Activated OSM/CXCR4 neutrophil,CXCR4 neutrophil,TRUE
C_50249009,Donor1,UN,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50251253,Donor4,UN,Low-signal neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50252417,Donor3,UN,DHFR+ proliferative/stress neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50257981,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
C_50258735,Donor6,UF,IL1R2+ inflammatory neutrophil,Low-signal/unresolved neutrophil,TRUE
C_50259117,Donor3,UF,CCL3/CCL4 inflammatory neutrophil,CXCR4 neutrophil,TRUE
C_50260588,Donor3,UF,Activated OSM/CXCR4 neutrophil,OSM neutrophil,TRUE
