DonorID,ConditionCode,program,value,cells,population,version
Donor2,CF,Type_I_interferon,0.00176834193228207,22,Resolved,full_gene
Donor6,NA5,Type_I_interferon,0.259793051152568,1,Resolved,full_gene
Donor1,N,Immature_granulopoiesis,-0.0297837733594016,55,Resolved,full_gene
Donor6,N,Immature_granulopoiesis,0.247770407918949,801,Resolved,full_gene
Donor5,NNAMPT,Immature_granulopoiesis,-0.000376291796567589,41,Resolved,full_gene
Donor2,NNAMPT,Immature_granulopoiesis,0.0113569848276382,215,Resolved,full_gene
Donor1,NNAMPT,Immature_granulopoiesis,-0.106113587189578,63,Resolved,full_gene
Donor4,NNAMPT,Immature_granulopoiesis,0.126931363048321,233,Resolved,full_gene
Donor4,N,Immature_granulopoiesis,0.0861731999418857,234,Resolved,full_gene
Donor5,N,Immature_granulopoiesis,-0.0228548539206873,61,Resolved,full_gene
Donor3,N,Immature_granulopoiesis,0.212517085194702,102,Resolved,full_gene
Donor3,NNAMPT,Immature_granulopoiesis,0.0626345104813363,42,Resolved,full_gene
Donor2,N,Immature_granulopoiesis,-0.0971639391232295,47,Resolved,full_gene
Donor6,NNAMPT,Immature_granulopoiesis,0.00287936515890085,13,Resolved,full_gene
Donor4,UF,Immature_granulopoiesis,-0.0346769376195877,3393,Resolved,full_gene
Donor4,UN,Immature_granulopoiesis,-0.0166701555790933,1239,Resolved,full_gene
Donor3,UN,Immature_granulopoiesis,-0.0336250761902078,2554,Resolved,full_gene
Donor2,UF,Immature_granulopoiesis,0.0196557415572384,720,Resolved,full_gene
Donor3,UF,Immature_granulopoiesis,-0.0416757778548337,2349,Resolved,full_gene
Donor2,UN,Immature_granulopoiesis,0.0251325040122941,461,Resolved,full_gene
Donor6,UF,Immature_granulopoiesis,-0.0136619755941447,369,Resolved,full_gene
Donor1,UF,Immature_granulopoiesis,-0.016961711937641,140,Resolved,full_gene
Donor5,UF,Immature_granulopoiesis,-0.0656689365813267,28,Resolved,full_gene
Donor1,UN,Immature_granulopoiesis,-0.00797974072591945,87,Resolved,full_gene
Donor6,UN,Immature_granulopoiesis,0.00492653392562384,54,Resolved,full_gene
Donor5,UN,Immature_granulopoiesis,-0.0909623675669485,26,Resolved,full_gene
Donor4,UD,Immature_granulopoiesis,0.0365672355515243,1847,Resolved,full_gene
Donor4,UA5,Immature_granulopoiesis,0.0200696669496046,1576,Resolved,full_gene
Donor5,UD,Immature_granulopoiesis,0.147735983601081,1184,Resolved,full_gene
Donor2,UD,Immature_granulopoiesis,0.0872261931581751,946,Resolved,full_gene
